,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_bidirectional,params_dropout,params_embed_dim,params_hidden_size,params_lr,params_momentum,params_num_layers,params_optimizer,params_weight_decay,state
62,62,0.004406029159158867,2026-04-12 19:28:17.642295,2026-04-12 19:28:20.129660,0 days 00:00:02.487365,,0.7010197481368496,0.9765253238644955,True,0.39842561304859,128,64,0.0029353252025209704,,1,Adam,1.3379467475860761e-05,PRUNED
63,63,0.00232621621903867,2026-04-12 19:28:20.139269,2026-04-12 19:28:24.668071,0 days 00:00:04.528802,,0.721531011160899,0.9734011904796136,True,0.37013864400491864,128,64,0.001909156150684641,,1,Adam,1.0773150714669245e-05,COMPLETE
64,64,0.0020391089179425926,2026-04-12 19:28:24.677852,2026-04-12 19:28:29.440877,0 days 00:00:04.763025,,0.7338505691613298,0.9902547452532836,True,0.36338439812693313,128,64,0.0017657322215356448,,1,Adam,1.046865197269273e-05,COMPLETE
65,65,0.006002245192077889,2026-04-12 19:28:29.450042,2026-04-12 19:28:31.794204,0 days 00:00:02.344162,,0.7667169845427128,0.9913468865204783,True,0.3148575975775767,128,64,0.0009280952990846433,,1,Adam,1.148291112178791e-05,PRUNED
66,66,0.022962348485235005,2026-04-12 19:28:31.803316,2026-04-12 19:28:34.104121,0 days 00:00:02.300805,,0.7369407055248245,0.9890398712404844,True,0.3459562298188548,128,64,0.0014413490397422986,,1,Adam,0.0003183809324281272,PRUNED
67,67,0.0054396628279826205,2026-04-12 19:28:34.113480,2026-04-12 19:28:36.290517,0 days 00:00:02.177037,,0.8087912168770834,0.9802203672433656,True,0.07007668141415772,128,16,0.004930908292220268,,1,Adam,1.5136236328262089e-05,PRUNED
68,68,0.015851602582616885,2026-04-12 19:28:36.299451,2026-04-12 19:28:38.534240,0 days 00:00:02.234789,,0.7843018346908851,0.9801155235532857,True,0.3731080281469113,64,64,0.0002654430143355384,,1,Adam,2.4915769365793897e-05,PRUNED
69,69,0.03393038214558059,2026-04-12 19:28:38.545019,2026-04-12 19:28:40.851687,0 days 00:00:02.306668,,0.9897697823341378,0.9954224642741419,True,0.21977523051355904,128,64,0.0006223968591136965,,1,Adam,1.841580217900961e-05,PRUNED
70,70,0.006473568386389358,2026-04-12 19:28:40.860893,2026-04-12 19:28:42.810096,0 days 00:00:01.949203,0.8267713752551703,,,False,0.290333577749791,128,32,0.0037691078596513838,,1,RMSprop,1.277487256965058e-05,PRUNED
71,71,0.01911488794692003,2026-04-12 19:28:42.820561,2026-04-12 19:28:45.189771,0 days 00:00:02.369210,,0.7152925375187132,0.9748130137210288,True,0.36807834541090134,128,64,0.0018985223888365358,,1,Adam,0.0009508024093208264,PRUNED
72,72,0.006939771634846878,2026-04-12 19:28:45.198705,2026-04-12 19:28:49.894373,0 days 00:00:04.695668,,0.7562738676332151,0.972168028348684,True,0.3752160438948805,128,64,0.0011193951802436863,,1,Adam,1.0021169682521595e-05,COMPLETE
73,73,0.041982187306327495,2026-04-12 19:28:49.904868,2026-04-12 19:28:53.430332,0 days 00:00:03.525464,,0.7409419389863161,0.9632346036597295,True,0.33186384661840845,128,64,0.0026045727268406644,,1,Adam,1.112275992273912e-05,PRUNED
